Time;Tdry;Iet_h;Iet_n;Igl_h;Idir_n;Idif_h;Tdry_mod;Tdry_Ideal;;;
1/1/2002 00;-2,4;0;1415;0;0;0;2,211;-3,314;;;
1/1/2002 01;-1,8;0;1415;0;0;0;2,209;-3,455;;;
1/1/2002 02;-1,4;0;1415;0;0;0;2,206;-3,256;;;
1/1/2002 03;-1,4;0;1415;0;0;0;2,202;-2,73;;;
1/1/2002 04;-1,5;0;1415;0;0;0;2,198;-1,913;;;
1/1/2002 05;-1,7;0;1415;0;0;0;2,194;-0,862;;;
1/1/2002 06;-1,8;0;1415;0;0;0;2,191;0,353;;;
1/1/2002 07;-1,4;0;1415;0;0;0;2,188;1,648;;;
1/1/2002 08;-1;37;1415;11;0;11;2,186;2,934;;;
1/1/2002 09;-0,6;211;1415;89;53;81;2,185;4,125;;;
1/1/2002 10;0,1;360;1415;186;361;94;2,187;5,139;;;
1/1/2002 11;0,9;458;1415;197;130;155;2,19;5,907;;;
1/1/2002 12;1,6;497;1415;77;0;77;2,197;6,376;;;
1/1/2002 13;1,8;475;1415;72;0;72;2,203;6,515;;;
1/1/2002 14;2;393;1415;55;0;55;2,211;6,313;;;
1/1/2002 15;2,2;257;1415;30;0;30;2,219;5,784;;;
1/1/2002 16;1,9;78;1415;6;0;6;2,226;4,964;;;
1/1/2002 17;1,5;0;1415;0;0;0;2,231;3,91;;;
1/1/2002 18;1,2;0;1415;0;0;0;2,235;2,691;;;
1/1/2002 19;0,7;0;1415;0;0;0;2,237;1,392;;;
1/1/2002 20;0,3;0;1415;0;0;0;2,238;0,101;;;
1/1/2002 21;-0,2;0;1415;0;0;0;2,238;-1,096;;;
1/1/2002 22;-0,5;0;1415;0;0;0;2,237;-2,116;;;
1/1/2002 23;-0,7;0;1415;0;0;0;2,236;-2,889;;;
2/1/2002 00;-1;0;1415;0;0;0;2,234;-3,365;;;
2/1/2002 01;-1,2;0;1415;0;0;0;2,232;-3,51;;;
2/1/2002 02;-1,3;0;1415;0;0;0;2,23;-3,315;;;
2/1/2002 03;-1,5;0;1415;0;0;0;2,228;-2,792;;;
2/1/2002 04;-2;0;1415;0;0;0;2,225;-1,979;;;
2/1/2002 05;-2,5;0;1415;0;0;0;2,223;-0,93;;;
2/1/2002 06;-3;0;1415;0;0;0;2,221;0,283;;;
2/1/2002 07;-2,3;0;1415;0;0;0;2,22;1,578;;;
2/1/2002 08;-1,7;37;1415;9;0;9;2,219;2,865;;;
2/1/2002 09;-1;211;1415;55;50;48;2,219;4,058;;;
2/1/2002 10;1;361;1415;141;101;115;2,22;5,075;;;
2/1/2002 11;3,1;459;1415;220;240;142;2,223;5,846;;;
2/1/2002 12;5,1;499;1415;266;330;149;2,229;6,319;;;
2/1/2002 13;5,1;477;1415;265;468;106;2,235;6,462;;;
2/1/2002 14;5,1;396;1415;212;344;115;2,242;6,264;;;
2/1/2002 15;5,1;260;1415;118;265;69;2,249;5,739;;;
2/1/2002 16;3;81;1415;23;0;23;2,256;4,923;;;
2/1/2002 17;2,2;0;1415;0;0;0;2,261;3,871;;;
2/1/2002 18;1,4;0;1415;0;0;0;2,266;2,654;;;
2/1/2002 19;1;0;1415;0;0;0;2,268;1,356;;;
2/1/2002 20;0,6;0;1415;0;0;0;2,269;0,064;;;
2/1/2002 21;0,2;0;1415;0;0;0;2,268;-1,134;;;
2/1/2002 22;0,8;0;1415;0;0;0;2,267;-2,157;;;
2/1/2002 23;1,3;0;1415;0;0;0;2,267;-2,934;;;
3/1/2002 00;1,9;0;1415;0;0;0;2,266;-3,413;;;
3/1/2002 01;2;0;1415;0;0;0;2,264;-3,562;;;
3/1/2002 02;2,1;0;1415;0;0;0;2,263;-3,371;;;
3/1/2002 03;2,2;0;1415;0;0;0;2,261;-2,852;;;
3/1/2002 04;2,6;0;1415;0;0;0;2,259;-2,042;;;
3/1/2002 05;2,9;0;1415;0;0;0;2,257;-0,995;;;
3/1/2002 06;3,3;0;1415;0;0;0;2,256;0,217;;;
3/1/2002 07;4,4;0;1415;0;0;0;2,255;1,511;;;
3/1/2002 08;5,4;37;1415;8;0;8;2,254;2,799;;;
3/1/2002 09;6,5;212;1415;40;0;40;2,253;3,994;;;
3/1/2002 10;7,4;362;1415;77;0;77;2,254;5,013;;;
3/1/2002 11;8,3;460;1415;89;0;89;2,258;5,788;;;
3/1/2002 12;9,2;500;1415;78;0;78;2,264;6,265;;;
3/1/2002 13;8,3;479;1415;73;0;73;2,27;6,412;;;
3/1/2002 14;7,4;398;1415;56;0;56;2,277;6,218;;;
3/1/2002 15;6,5;263;1415;31;0;31;2,285;5,697;;;
3/1/2002 16;6,3;84;1415;6;0;6;2,291;4,885;;;
3/1/2002 17;6,2;0;1415;0;0;0;2,296;3,835;;;
3/1/2002 18;6;0;1415;0;0;0;2,3;2,62;;;
3/1/2002 19;5,6;0;1415;0;0;0;2,302;1,322;;;
3/1/2002 20;5,3;0;1415;0;0;0;2,303;0,029;;;
3/1/2002 21;4,9;0;1415;0;0;0;2,302;-1,17;;;
3/1/2002 22;4,7;0;1415;0;0;0;2,301;-2,195;;;
3/1/2002 23;4,5;0;1415;0;0;0;2,299;-2,975;;;
4/1/2002 00;4,3;0;1415;0;0;0;2,297;-3,458;;;
4/1/2002 01;3,7;0;1415;0;0;0;2,294;-3,611;;;
4/1/2002 02;3,2;0;1415;0;0;0;2,291;-3,424;;;
4/1/2002 03;2,6;0;1415;0;0;0;2,287;-2,909;;;
4/1/2002 04;2,1;0;1415;0;0;0;2,284;-2,102;;;
4/1/2002 05;1,7;0;1415;0;0;0;2,28;-1,057;;;
4/1/2002 06;1,2;0;1415;0;0;0;2,277;0,153;;;
4/1/2002 07;1,7;0;1415;0;0;0;2,275;1,447;;;
4/1/2002 08;2,2;37;1415;4;0;4;2,273;2,736;;;
4/1/2002 09;2,7;212;1415;41;0;41;2,272;3,932;;;
4/1/2002 10;2,9;363;1415;91;0;91;2,274;4,954;;;
4/1/2002 11;3,2;462;1415;128;10;124;2,277;5,732;;;
4/1/2002 12;3,4;503;1415;143;7;141;2,283;6,213;;;
4/1/2002 13;3;482;1415;135;6;133;2,289;6,364;;;
4/1/2002 14;2,6;401;1415;104;4;103;2,297;6,175;;;
4/1/2002 15;2,2;266;1415;57;0;57;2,305;5,658;;;
4/1/2002 16;2,1;87;1415;12;0;12;2,312;4,849;;;
4/1/2002 17;2;0;1415;0;0;0;2,318;3,802;;;
4/1/2002 18;1,9;0;1415;0;0;0;2,322;2,589;;;
4/1/2002 19;2;0;1415;0;0;0;2,325;1,291;;;
4/1/2002 20;2;0;1415;0;0;0;2,326;-0,002;;;
4/1/2002 21;2,1;0;1415;0;0;0;2,325;-1,203;;;
4/1/2002 22;1,9;0;1415;0;0;0;2,325;-2,23;;;
4/1/2002 23;1,7;0;1415;0;0;0;2,326;-3,014;;;
5/1/2002 00;1,5;0;1415;0;0;0;2,326;-3,5;;;
5/1/2002 01;1,4;0;1415;0;0;0;2,327;-3,657;;;
5/1/2002 02;1,4;0;1415;0;0;0;2,328;-3,474;;;
5/1/2002 03;1,3;0;1415;0;0;0;2,329;-2,963;;;
5/1/2002 04;0,7;0;1415;0;0;0;2,33;-2,159;;;
5/1/2002 05;0;0;1415;0;0;0;2,332;-1,117;;;
5/1/2002 06;-0,6;0;1415;0;0;0;2,334;0,092;;;
5/1/2002 07;-0,2;0;1415;0;0;0;2,336;1,385;;;
5/1/2002 08;0,2;38;1415;10;0;10;2,338;2,675;;;
5/1/2002 09;0,6;213;1415;88;50;81;2,34;3,873;;;
5/1/2002 10;1,4;364;1415;190;373;94;2,343;4,898;;;
5/1/2002 11;2,2;464;1415;257;360;139;2,346;5,68;;;
5/1/2002 12;3;505;1415;273;322;158;2,349;6,165;;;
5/1/2002 13;3,1;485;1415;280;429;132;2,352;6,32;;;
5/1/2002 14;3,3;404;1415;228;396;114;2,355;6,135;;;
5/1/2002 15;3,4;270;1415;129;309;70;2,358;5,622;;;
5/1/2002 16;2;90;1415;27;24;25;2,361;4,816;;;
5/1/2002 17;1;0;1415;0;0;0;2,363;3,772;;;
5/1/2002 18;0,1;0;1415;0;0;0;2,365;2,56;;;
5/1/2002 19;-0,9;0;1415;0;0;0;2,367;1,263;;;
5/1/2002 20;-1,8;0;1415;0;0;0;2,369;-0,03;;;
5/1/2002 21;-2,8;0;1415;0;0;0;2,37;-1,233;;;
5/1/2002 22;-2,5;0;1415;0;0;0;2,372;-2,262;;;
5/1/2002 23;-2,3;0;1415;0;0;0;2,373;-3,049;;;
6/1/2002 00;-2;0;1415;0;0;0;2,374;-3,54;;;
6/1/2002 01;-1,7;0;1415;0;0;0;2,375;-3,701;;;
6/1/2002 02;-1,3;0;1415;0;0;0;2,376;-3,521;;;
6/1/2002 03;-1;0;1415;0;0;0;2,377;-3,014;;;
6/1/2002 04;-0,8;0;1415;0;0;0;2,378;-2,213;;;
6/1/2002 05;-0,7;0;1415;0;0;0;2,378;-1,173;;;
6/1/2002 06;-0,5;0;1415;0;0;0;2,379;0,034;;;
6/1/2002 07;-0,3;0;1415;0;0;0;2,379;1,327;;;
6/1/2002 08;0;38;1415;3;0;3;2,38;2,617;;;
6/1/2002 09;0,2;214;1415;23;0;23;2,381;3,817;;;
6/1/2002 10;1,1;366;1415;65;0;65;2,382;4,845;;;
6/1/2002 11;2;466;1415;112;0;112;2,384;5,63;;;
6/1/2002 12;2,9;507;1415;146;4;145;2,386;6,119;;;
6/1/2002 13;3;487;1415;138;7;136;2,388;6,278;;;
6/1/2002 14;3,2;407;1415;108;5;106;2,391;6,098;;;
6/1/2002 15;3,3;273;1415;60;0;60;2,394;5,589;;;
6/1/2002 16;2,5;93;1415;19;0;19;2,397;4,786;;;
6/1/2002 17;1,8;0;1415;0;0;0;2,398;3,744;;;
6/1/2002 18;1;0;1415;0;0;0;2,4;2,534;;;
6/1/2002 19;0,1;0;1415;0;0;0;2,4;1,238;;;
6/1/2002 20;-0,8;0;1415;0;0;0;2,4;-0,056;;;
6/1/2002 21;-1,7;0;1415;0;0;0;2,4;-1,26;;;
6/1/2002 22;-1,1;0;1415;0;0;0;2,399;-2,292;;;
6/1/2002 23;-0,4;0;1415;0;0;0;2,397;-3,082;;;
7/1/2002 00;0,2;0;1415;0;0;0;2,395;-3,576;;;
7/1/2002 01;0,3;0;1415;0;0;0;2,393;-3,741;;;
7/1/2002 02;0,3;0;1415;0;0;0;2,392;-3,566;;;
7/1/2002 03;0,4;0;1415;0;0;0;2,39;-3,062;;;
7/1/2002 04;-0,1;0;1415;0;0;0;2,389;-2,264;;;
7/1/2002 05;-0,7;0;1415;0;0;0;2,389;-1,227;;;
7/1/2002 06;-1,2;0;1415;0;0;0;2,389;-0,021;;;
7/1/2002 07;-0,5;0;1415;0;0;0;2,389;1,272;;;
7/1/2002 08;0,1;39;1415;4;0;4;2,39;2,563;;;
7/1/2002 09;0,8;216;1415;23;0;23;2,391;3,764;;;
7/1/2002 10;1,4;368;1415;51;0;51;2,391;4,794;;;
7/1/2002 11;2,1;468;1415;71;0;71;2,393;5,583;;;
7/1/2002 12;2,7;510;1415;80;0;80;2,394;6,076;;;
7/1/2002 13;2,8;490;1415;76;0;76;2,396;6,24;;;
7/1/2002 14;2,9;411;1415;59;0;59;2,397;6,063;;;
7/1/2002 15;3;277;1415;33;0;33;2,399;5,558;;;
7/1/2002 16;3;97;1415;7;0;7;2,401;4,759;;;
7/1/2002 17;3,1;0;1415;0;0;0;2,402;3,72;;;
7/1/2002 18;3,1;0;1415;0;0;0;2,402;2,511;;;
7/1/2002 19;3,3;0;1415;0;0;0;2,403;1,216;;;
7/1/2002 20;3,5;0;1415;0;0;0;2,403;-0,079;;;
7/1/2002 21;3,7;0;1415;0;0;0;2,403;-1,284;;;
7/1/2002 22;3,7;0;1415;0;0;0;2,403;-2,319;;;
7/1/2002 23;3,7;0;1415;0;0;0;2,403;-3,112;;;
